timestamp,open,high,low,close,volume
2026-04-25,77437.13,77885.35,77140.23,77625.0,5685.1142
2026-04-26,77625.0,78961.0,77326.51,78657.55,7963.56162
2026-04-27,78657.55,79485.66,76459.64,77371.32,16046.92418
2026-04-28,77371.32,77478.0,75666.6,76342.77,13210.72383
2026-04-29,76342.78,77904.93,74937.52,75780.0,18279.93022
2026-04-30,75780.0,76669.14,75323.65,76346.57,10381.81607
2026-05-01,76346.58,78914.12,76320.42,78231.13,17315.46502
2026-05-02,78231.13,79199.48,78040.0,78686.85,6150.87642
2026-05-03,78686.84,79447.0,78084.08,78568.57,7425.7929
2026-05-04,78568.58,80776.99,78202.0,79861.01,26042.96135
2026-05-05,79861.01,81791.48,79808.72,80905.52,16947.17995
2026-05-06,80905.53,82850.0,80731.14,81447.01,18798.77396
2026-05-07,81447.01,81708.32,79500.0,80006.0,16154.80338
2026-05-08,80006.0,80500.0,79181.48,80193.17,16001.31009
2026-05-09,80193.18,81080.0,80129.85,80678.4,7548.42177
2026-05-10,80678.41,82479.32,80279.77,82210.07,12034.31882
2026-05-11,82210.07,82380.0,80462.97,81745.65,12951.76056
2026-05-12,81745.66,81788.0,79843.59,80504.47,12386.25676
2026-05-13,80504.47,81324.64,78754.65,79313.61,14810.05643
2026-05-14,79313.61,82048.13,78922.0,81089.99,19727.86807
2026-05-15,81090.0,81664.45,78659.0,79113.21,17351.27079
2026-05-16,79113.2,79227.77,77640.0,78148.05,12132.86192
2026-05-17,78148.05,78599.99,76735.16,77457.67,8442.7022
2026-05-18,77457.67,77800.0,76051.0,77001.87,18745.51678
2026-05-19,77001.88,77414.62,76144.71,76834.36,11024.85978
2026-05-20,76834.36,77853.04,76516.74,77552.23,11296.26307
2026-05-21,77552.24,78200.0,76719.47,77615.52,11318.25841
2026-05-22,77615.52,77900.0,75359.18,75539.5,11272.36134
2026-05-23,75539.5,77404.18,74289.6,76752.01,15086.88814
2026-05-24,76752.0,77543.15,76108.0,77064.96,8398.00156
2026-05-25,77064.96,77905.52,76914.25,77322.01,7672.32197
2026-05-26,77322.01,78080.0,75677.97,75930.01,16953.47629
2026-05-27,75930.01,76174.15,74243.99,74449.3,16877.77483
2026-05-28,74449.31,74590.77,72582.82,73617.51,21274.02026
2026-05-29,73617.52,74514.1,72512.49,73460.78,18686.74141
2026-05-30,73460.78,74143.76,73216.0,73884.38,7515.40909
2026-05-31,73884.38,74275.66,73400.0,73674.39,6986.45707
2026-06-01,73674.39,74092.0,70686.68,71408.9,23921.09184
2026-06-02,71408.9,71408.9,66193.0,66760.83,32858.19586
2026-06-03,66760.84,67516.0,64092.49,64142.75,30138.3065
2026-06-04,64142.75,64764.32,61383.56,63885.99,43577.17571
2026-06-05,63885.99,63978.0,59130.91,61056.47,55027.28807
2026-06-06,61056.47,61530.05,59500.0,60884.62,19795.58877
2026-06-07,60884.62,64234.68,60746.0,63332.01,26612.10443
2026-06-08,63332.01,64200.0,62408.0,63085.99,23053.38624
2026-06-09,63086.0,63526.01,60780.0,61730.0,21636.21959
2026-06-10,61730.0,62857.99,60755.0,61510.99,15998.71652
2026-06-11,61510.99,63933.02,61510.99,63625.99,17380.94642
2026-06-12,63626.0,64394.44,62829.81,63580.01,16397.0524
2026-06-13,63580.0,64762.77,63418.66,64458.01,9960.74163
2026-06-14,64458.01,65800.0,63678.83,65746.45,13203.03375
2026-06-15,65746.45,67292.15,65354.0,66328.74,18559.80102
2026-06-16,66328.74,66992.0,65360.92,65675.01,14302.05801
2026-06-17,65675.02,66445.93,63915.77,64509.4,19048.65409
2026-06-18,64509.4,64806.0,62272.07,62958.01,16935.59661
2026-06-19,62958.01,63666.0,62316.44,63543.91,14247.424
2026-06-20,63543.9,64388.0,63184.21,64298.01,9522.10324
2026-06-21,64298.01,64588.0,63270.0,63311.99,8034.66333
2026-06-22,63312.0,65622.83,63312.0,64020.01,15423.10851
2026-06-23,64020.01,64275.38,61938.0,62734.57,20222.99292
2026-06-24,62734.57,63239.06,59102.7,61077.99,30678.28543
2026-06-25,61078.0,61962.4,58115.01,59794.0,30386.00694
2026-06-26,59794.64,60759.99,58337.0,60097.27,27403.55723
2026-06-27,60097.27,60941.17,59855.16,60029.0,9587.22916
2026-06-28,60029.01,60545.01,58905.0,59577.01,8907.13796
2026-06-29,59577.01,60780.57,58900.01,60260.21,20203.14178
2026-06-30,60260.2,60276.54,58201.0,58624.71,19639.82787
2026-07-01,58624.71,61334.0,57800.19,60024.0,25093.44662
2026-07-02,60024.0,62200.0,59588.0,61560.0,21382.14163
2026-07-03,61560.0,62979.86,61248.86,62583.26,14048.98627
2026-07-04,62583.26,63461.99,62328.24,63144.01,9139.8274
2026-07-05,63144.01,63999.0,62436.59,63650.0,9172.07758
2026-07-06,63650.01,64700.0,61306.84,64042.02,21435.28437
2026-07-07,64042.93,64314.0,62671.39,63363.99,16834.20823
2026-07-08,63364.0,63761.99,61544.56,62290.0,18620.09796
2026-07-09,62290.01,63500.0,61705.29,63230.0,16742.80672
2026-07-10,63230.01,64692.83,62926.01,64161.72,17589.00122
2026-07-11,64161.72,64504.11,63819.0,63819.0,9151.97432
